운영기관,충전소,충전기ID,충전기타입,시설구분(대),시설구분(소),지역,시군구,주소,이용가능시간,이용자 제한,충전용량,편의제공,비고
서울시,아현2구역 공영주차장,7,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 신촌로28길 29 ,24시간 이용가능,,급속(50kW단독),N,
서울시,앵봉산가족캠핑장,1,DC콤보,공공시설,지자체시설,서울특별시,은평구 ,서울특별시 은평구 통일로 1055 ,24시간 이용가능,,급속(100kW단독),N,
서울시,앵봉산가족캠핑장,2,DC콤보,공공시설,지자체시설,서울특별시,은평구 ,서울특별시 은평구 통일로 1055 ,24시간 이용가능,,급속(100kW단독),N,
서울시,양재솔라스테이션,1,DC차데모+DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,2,DC차데모+DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,3,DC차데모+DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,4,DC차데모+DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,5,DC차데모+DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,6,DC차데모+DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,7,DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,8,DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,9,DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,10,DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),N,
서울시,양재솔라스테이션,11,DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(100kW동시),N,
서울시,양재솔라스테이션,12,DC콤보,주차시설,일반주차장,서울특별시,서초구 ,"서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(100kW동시),N,
서울시,양천구민체육센터,1,DC콤보,공공시설,지자체시설,서울특별시,양천구 ,서울특별시 양천구 목동동로 87 ,24시간 이용가능,,급속(100kW동시),N,
서울시,양천구민체육센터,2,DC콤보,공공시설,지자체시설,서울특별시,양천구 ,서울특별시 양천구 목동동로 87 ,24시간 이용가능,,급속(100kW동시),N,
서울시,양천구청,1,DC차데모+AC3상+DC콤보,공공시설,관공서,서울특별시,양천구 ,"서울특별시 양천구 목동동로 105 (신정동, 양천구청) 지상1층 진입로 우측 10M 지점",24시간 이용가능,,급속(50kW단독),N,
서울시,어린이대공원 구의문 주차장 복합충전소,1,DC콤보,주차시설,공영주차장,서울특별시,광진구 ,"서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,어린이대공원 구의문 주차장 복합충전소,2,DC콤보,주차시설,공영주차장,서울특별시,광진구 ,"서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,어린이대공원 구의문 주차장 복합충전소,3,DC콤보,주차시설,공영주차장,서울특별시,광진구 ,"서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,어린이대공원 구의문 주차장 복합충전소,4,DC콤보,주차시설,공영주차장,서울특별시,광진구 ,"서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,어린이대공원 구의문 주차장 복합충전소,5,DC콤보,주차시설,공영주차장,서울특별시,광진구 ,"서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,어린이대공원 구의문 주차장 복합충전소,6,DC콤보,주차시설,공영주차장,서울특별시,광진구 ,"서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점",24시간 이용가능,,급속(200kW동시),N,
서울시,어린이대공원 후문주차장,1,DC콤보,주차시설,공영주차장,서울특별시,광진구 ,서울특별시 광진구 능동로 216 (서울특별시 광진구 천호대로124길 11 전기차충전소),"주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW단독),N,
서울시,여의도 KBS홀 앞 전기차 충전소,1,DC콤보,주차시설,공영주차장,서울특별시,영등포구 ,서울특별시 영등포구 여의공원로 13 kBS홀 앞 전기차 충전소,24시간 이용가능,,급속(50kW단독),N,
서울시,여의도 KBS홀 앞 전기차 충전소,2,AC완속,주차시설,공영주차장,서울특별시,영등포구 ,서울특별시 영등포구 여의공원로 13 kBS홀 앞 전기차 충전소,24시간 이용가능,,완속(7kW단독),N,
서울시,여의도 KBS홀 앞 전기차 충전소,3,AC완속,주차시설,공영주차장,서울특별시,영등포구 ,서울특별시 영등포구 여의공원로 13 kBS홀 앞 전기차 충전소,24시간 이용가능,,완속(7kW단독),N,
서울시,여의서로 노상공영주차장,1,DC콤보,주차시설,공영주차장,서울특별시,영등포구 ,서울특별시 영등포구 의사당대로 1 국회1어린이집 인근(식물원 앞),24시간 이용가능,,급속(50kW단독),N,
서울시,여의서로 노상공영주차장,2,DC콤보,주차시설,공영주차장,서울특별시,영등포구 ,서울특별시 영등포구 의사당대로 1 국회1어린이집 인근(식물원 앞),24시간 이용가능,,급속(50kW단독),N,
